OrderID,OrderDate,DeliveryDate,Region,ProductID,OrderedQty,DeliveredQty,InventoryStock,DelayDays,TransportMode,OT,IF,OTIF
ORD001,01-01-2025,05-01-2025,North,P101,45,45,225,3,Truck,0,0,0
ORD002,02-01-2025,03-01-2025,South,P104,57,57,228,0,Truck,1,0,1
ORD003,03-01-2025,07-01-2025,West,P102,7,5,42,3,Truck,0,1,0
ORD004,04-01-2025,05-01-2025,East,P107,48,45,288,0,Ship,1,1,1
ORD005,05-01-2025,06-01-2025,North,P105,14,14,70,0,Air,1,0,1
ORD006,06-01-2025,07-01-2025,South,P103,24,22,96,0,Ship,1,1,1
ORD007,07-01-2025,10-01-2025,West,P108,23,23,161,2,Ship,0,0,0
ORD008,08-01-2025,09-01-2025,East,P101,45,43,315,0,Ship,1,1,1
ORD009,09-01-2025,13-01-2025,North,P104,30,28,210,3,Ship,0,1,0
ORD010,10-01-2025,11-01-2025,South,P102,9,9,45,0,Air,1,0,1
ORD011,11-01-2025,14-01-2025,West,P107,49,49,343,2,Truck,0,0,0
ORD012,12-01-2025,13-01-2025,East,P105,17,16,68,0,Air,1,1,1
ORD013,13-01-2025,16-01-2025,North,P103,45,45,180,2,Ship,0,0,0
ORD014,14-01-2025,15-01-2025,South,P108,29,29,116,0,Truck,1,0,1
ORD015,15-01-2025,16-01-2025,West,P101,46,44,276,0,Ship,1,1,1
ORD016,16-01-2025,17-01-2025,East,P104,31,29,186,0,Ship,1,1,1
ORD017,17-01-2025,20-01-2025,North,P102,23,23,92,2,Ship,1,1,1
ORD018,18-01-2025,19-01-2025,South,P107,47,45,329,0,Truck,1,1,1
ORD019,19-01-2025,22-01-2025,West,P105,30,30,120,2,Ship,0,0,0
ORD020,20-01-2025,21-01-2025,East,P103,58,57,232,0,Ship,1,1,1
ORD021,21-01-2025,24-01-2025,North,P108,9,7,63,2,Truck,0,1,0
ORD022,22-01-2025,23-01-2025,South,P101,59,59,295,0,Ship,1,0,1
ORD023,23-01-2025,26-01-2025,West,P104,26,26,156,2,Truck,0,0,0
ORD024,24-01-2025,25-01-2025,East,P102,15,14,105,0,Truck,1,1,1
ORD025,25-01-2025,26-01-2025,North,P107,23,23,161,0,Truck,1,0,1
ORD026,26-01-2025,27-01-2025,South,P105,6,6,36,0,Ship,1,0,1
ORD027,27-01-2025,30-01-2025,West,P103,24,23,168,2,Ship,0,1,0
ORD028,28-01-2025,29-01-2025,East,P108,7,4,49,0,Ship,1,1,1
ORD029,29-01-2025,01-02-2025,North,P101,28,28,140,2,Truck,0,0,0
ORD030,30-01-2025,31-01-2025,South,P104,32,31,128,0,Ship,1,1,1
ORD031,31-01-2025,03-02-2025,West,P102,53,53,371,2,Ship,0,0,0
ORD032,01-02-2025,02-02-2025,East,P107,10,9,40,0,Air,1,1,1
ORD033,02-02-2025,05-02-2025,North,P105,52,51,364,2,Ship,1,1,1
ORD034,03-02-2025,04-02-2025,South,P103,36,36,252,0,Truck,1,0,1
ORD035,04-02-2025,05-02-2025,West,P108,32,32,160,0,Truck,1,0,1
ORD036,05-02-2025,06-02-2025,East,P101,18,15,72,0,Truck,1,1,1
ORD037,06-02-2025,09-02-2025,North,P104,26,26,156,2,Ship,1,0,0
ORD038,07-02-2025,08-02-2025,South,P102,36,36,180,0,Air,1,0,1
ORD039,08-02-2025,12-02-2025,West,P107,43,40,172,3,Ship,0,1,0
ORD040,09-02-2025,10-02-2025,East,P105,7,6,42,0,Ship,1,1,1
ORD041,10-02-2025,13-02-2025,North,P103,43,43,172,2,Ship,1,1,1
ORD042,11-02-2025,12-02-2025,South,P108,43,41,172,0,Truck,1,1,1
ORD043,12-02-2025,15-02-2025,West,P101,42,42,210,2,Truck,0,0,0
ORD044,13-02-2025,14-02-2025,East,P104,41,38,246,0,Ship,1,1,1
ORD045,14-02-2025,15-02-2025,North,P102,39,36,273,0,Ship,1,1,1
ORD046,15-02-2025,16-02-2025,South,P107,40,40,240,0,Air,1,0,1
ORD047,16-02-2025,19-02-2025,West,P105,39,39,273,2,Air,0,0,0
ORD048,17-02-2025,18-02-2025,East,P103,54,52,378,0,Air,1,1,1
ORD049,18-02-2025,21-02-2025,North,P108,54,54,378,2,Truck,0,0,0
ORD050,19-02-2025,20-02-2025,South,P101,23,23,138,0,Truck,1,0,1
ORD051,20-02-2025,23-02-2025,West,P104,30,27,150,2,Ship,0,1,0
ORD052,21-02-2025,22-02-2025,East,P102,59,56,295,0,Ship,1,1,1
ORD053,22-02-2025,26-02-2025,North,P107,15,15,75,3,Ship,0,0,0
ORD054,23-02-2025,24-02-2025,South,P105,28,27,140,0,Ship,1,1,1
ORD055,24-02-2025,25-02-2025,West,P103,49,49,343,0,Air,1,0,1
ORD056,25-02-2025,26-02-2025,East,P108,35,32,245,0,Truck,1,1,1
ORD057,26-02-2025,01-03-2025,North,P101,21,18,126,2,Ship,1,1,1
ORD058,27-02-2025,28-02-2025,South,P104,26,26,156,0,Air,1,0,1
ORD059,28-02-2025,03-03-2025,West,P102,38,38,266,2,Air,0,0,0
ORD060,01-03-2025,02-03-2025,East,P107,58,56,290,0,Ship,1,1,1
ORD061,02-03-2025,06-03-2025,North,P105,10,10,70,3,Truck,0,0,0
ORD062,03-03-2025,04-03-2025,South,P103,46,46,230,0,Air,1,0,1
ORD063,04-03-2025,08-03-2025,West,P108,29,27,203,3,Ship,0,1,0
ORD064,05-03-2025,06-03-2025,East,P101,11,9,44,0,Ship,1,1,1
ORD065,06-03-2025,07-03-2025,North,P104,45,45,270,0,Ship,1,0,1
ORD066,07-03-2025,08-03-2025,South,P102,19,17,114,0,Air,1,1,1
ORD067,08-03-2025,12-03-2025,West,P107,12,12,60,3,Truck,0,0,0
ORD068,09-03-2025,10-03-2025,East,P105,19,16,133,0,Truck,1,1,1
ORD069,10-03-2025,14-03-2025,North,P103,11,9,55,3,Ship,0,1,0
ORD070,11-03-2025,12-03-2025,South,P108,5,5,30,0,Ship,1,0,1
ORD071,12-03-2025,16-03-2025,West,P101,42,42,210,3,Air,0,0,0
ORD072,13-03-2025,14-03-2025,East,P104,55,53,385,0,Ship,1,1,1
ORD073,14-03-2025,17-03-2025,North,P102,53,53,212,2,Air,0,1,0
ORD074,15-03-2025,16-03-2025,South,P107,12,12,72,0,Truck,1,0,1
ORD075,16-03-2025,17-03-2025,West,P105,54,52,378,0,Air,1,1,1
ORD076,17-03-2025,18-03-2025,East,P103,27,25,135,0,Truck,1,1,1
ORD077,18-03-2025,21-03-2025,North,P108,55,55,385,2,Truck,0,0,0
ORD078,19-03-2025,20-03-2025,South,P101,33,32,165,0,Ship,1,1,1
ORD079,20-03-2025,24-03-2025,West,P104,43,43,301,3,Ship,0,0,0
ORD080,21-03-2025,22-03-2025,East,P102,30,28,150,0,Truck,1,1,1
ORD081,22-03-2025,25-03-2025,North,P107,51,50,255,2,Air,1,1,1
ORD082,23-03-2025,24-03-2025,South,P105,20,20,100,0,Air,1,0,1
ORD083,24-03-2025,27-03-2025,West,P103,11,11,66,2,Truck,0,0,0
ORD084,25-03-2025,26-03-2025,East,P108,25,22,150,0,Ship,1,1,1
ORD085,26-03-2025,27-03-2025,North,P101,40,40,240,0,Air,1,0,1
ORD086,27-03-2025,28-03-2025,South,P104,41,41,205,0,Air,1,0,1
ORD087,28-03-2025,31-03-2025,West,P102,53,52,212,2,Truck,0,1,0
ORD088,29-03-2025,30-03-2025,East,P107,50,47,350,0,Truck,1,1,1
ORD089,30-03-2025,03-04-2025,North,P105,6,6,36,3,Truck,0,0,0
ORD090,31-03-2025,01-04-2025,South,P103,22,19,154,0,Air,1,1,1
ORD091,01-04-2025,04-04-2025,West,P108,57,57,228,2,Truck,0,0,0
ORD092,02-04-2025,03-04-2025,East,P101,53,52,265,0,Truck,1,1,1
ORD093,03-04-2025,07-04-2025,North,P104,13,12,91,3,Air,1,1,1
ORD094,04-04-2025,05-04-2025,South,P102,33,33,132,0,Ship,1,0,1
ORD095,05-04-2025,06-04-2025,West,P107,26,26,130,0,Ship,1,0,1
ORD096,06-04-2025,07-04-2025,East,P105,44,42,220,0,Air,1,1,1
ORD097,07-04-2025,11-04-2025,North,P103,37,37,148,3,Air,0,0,0
ORD098,08-04-2025,09-04-2025,South,P108,38,38,152,0,Ship,1,0,1
ORD099,09-04-2025,13-04-2025,West,P101,51,48,306,3,Air,0,1,0
ORD100,10-04-2025,11-04-2025,East,P104,43,41,172,0,Air,1,1,1
